"Station_ID","StationName","Depth","Latitude..degrees_north.","Longitude..degrees_east.","Depth.m.","conc.mn"
"PS99/051-1","EG1","DCM","78.989","-5.4178","10","4.6"
"PS99/051-1","EG1","EPI","78.989","-5.4178","100","4.18"
"PS99/051-1","EG1","MESO","78.989","-5.4178","1000","3.529"
"PS99/048-1","EG4","DCM","78.816","-2.729","10","4.619"
"PS99/048-1","EG4","EPI","78.816","-2.729","100","4.678"
"PS99/048-1","EG4","MESO","78.816","-2.729","1000","3.802"
"PS99/048-1","EG4","BATHY","78.816","-2.729","2500","3.2967"
"PS99/066-05","HG1","DCM","79.138","6.088","10","5.3561"
"PS99/066-05","HG1","EPI","79.138","6.088","100","4.6172"
"PS99/066-05","HG1","MESO","79.138","6.088","500","3.9049"
"PS99/066-05","HG1","BATHY","79.138","6.088","1200","3.7398"
"PS99/042-11","HG4","DCM","79.0645","4.185","10","4.78115"
"PS99/042-11","HG4","EPI","79.0645","4.185","100","4.62697"
"PS99/042-11","HG4","MESO","79.0645","4.185","1000","3.8899"
"PS99/042-11","HG4","BATHY","79.0645","4.185","2500","3.508"
"PS99/059-2","HG9","DCM","79.134","2.841","10","5.0709"
"PS99/059-2","HG9","EPI","79.134","2.841","100","4.597"
"PS99/059-2","HG9","MESO","79.134","2.841","1000","3.5276"
"PS99/059-2","HG9","BATHY","79.134","2.841","2500","3.38179"
"PS99/059-2","HG9","ABYSS","79.134","2.841","5500","3.3797"
"PS99/055-7","N4","DCM","79.7391","4.508","10","5.19176"
"PS99/055-7","N4","EPI","79.7391","4.508","100","4.628297"
"PS99/055-7","N4","MESO","79.7391","4.508","1000","3.799"
"PS99/055-7","N4","BATHY","79.7391","4.508","2500","3.56"
"PS99/053-2","N5","DCM","79.92117","3.062","10","5.168"
"PS99/053-2","N5","EPI","79.92117","3.062","100","4.654594"
"PS99/053-2","N5","MESO","79.92117","3.062","1000","3.8304"
"PS99/053-2","N5","BATHY","79.92117","3.062","2500","3.43618"
"PS99/064-2","SV2","DCM","78.981","9.514","10","5.2725"
"PS99/064-2","SV2","EPI","78.981","9.514","100","4.10427"
"PS99/056-1","HG2","BATHY","79.134","4.90667","1500","3.7562968"
"PS99/056-1","HG2","DCM","79.134","4.90667","10","5.399043"
"PS99/056-1","HG2","EPI","79.134","4.90667","100","4.753415"
"PS99/056-1","HG2","MESO","79.134","4.90667","1000","3.81783"
"PS99/044-1","HG5","DCM","79.066","3.658","10","4.814757"
"PS99/044-1","HG5","EPI","79.066","3.658","100","4.4166"
"PS99/044-1","HG5","MESO","79.066","3.658","2500","3.15996"
"PS99/044-1","HG5","BATHY","79.066","3.658","3000","3.133948"
"PS99/054-1","N3","DCM","79.58667","5.17","10","5.153131"
"PS99/054-1","N3","EPI","79.58667","5.17","100","4.84804"
"PS99/054-1","N3","MESO","79.58667","5.17","1000","3.71699"
"PS99/054-1","N3","BATHY","79.58667","5.17","2500","3.4596"
"PS99/046-1","HG7","DCM","79.057","3.526","10","5.06823"
"PS99/046-1","HG7","EPI","79.057","3.526","100","4.49521"
"PS99/046-1","HG7","MESO","79.057","3.526","1000","3.602"
"PS99/046-1","HG7","BATHY","79.057","3.526","3000","3.55969"