"","Domain","variable","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","ALT","Temperature",0.18078516009999,0.519904316363646,0.617206146392334,8,-0.506493863661029,0.727591801868639,"Pearson's product-moment correlation","two.sided"
"2","BACT","Temperature",0.37948681737672,1.16013199414327,0.279444038259556,8,-0.328670276333116,0.814500530532793,"Pearson's product-moment correlation","two.sided"
"3","CFX","Temperature",0.27014833735628,0.793602029185384,0.450322420453699,8,-0.433154251835099,0.768977357879305,"Pearson's product-moment correlation","two.sided"
"4","CREN","Temperature",-0.084860475077037,-0.24089059947437,0.815698738527358,8,-0.678247736444298,0.575515860443272,"Pearson's product-moment correlation","two.sided"
"5","DELTA","Temperature",-0.358804058549135,-1.08724780679592,0.308596362599487,8,-0.806281346796592,0.349859973226716,"Pearson's product-moment correlation","two.sided"
"6","GAM","Temperature",0.30953259011854,0.920707386691462,0.384126680970275,8,-0.397577541499133,0.785979463285445,"Pearson's product-moment correlation","two.sided"
"7","OPI","Temperature",0.603536165061371,2.14095295434248,0.0646803389360099,8,-0.0420810156524184,0.89359453719802,"Pearson's product-moment correlation","two.sided"
"8","POL","Temperature",-0.00276019229066847,-0.00780703248406749,0.993962125364826,8,-0.631289381390401,0.627957428820338,"Pearson's product-moment correlation","two.sided"
"9","ROS","Temperature",0.665447460850607,2.52151253916754,0.0357245200563208,8,0.0616525406369921,0.912677289173364,"Pearson's product-moment correlation","two.sided"
"10","SAR11","Temperature",0.589409990323715,2.06367036672908,0.07294291815765,8,-0.0639478830810546,0.889088432566628,"Pearson's product-moment correlation","two.sided"
"11","SAR202","Temperature",0.0147709239335148,0.0417830402756792,0.967695652679286,8,-0.620627311107394,0.638459447904862,"Pearson's product-moment correlation","two.sided"
"12","SAR324","Temperature",-0.350248606386601,-1.05764745997883,0.321104283096338,8,-0.802830189707345,0.358418111128835,"Pearson's product-moment correlation","two.sided"
"13","SAR406","Temperature",0.200463790638188,0.578745105101846,0.578686658505104,8,-0.491154720050158,0.737060343110716,"Pearson's product-moment correlation","two.sided"
"14","VER","Temperature",0.784721416846945,3.58075715416561,0.00718035719226111,8,0.306561308840635,0.946633741847388,"Pearson's product-moment correlation","two.sided"
"15","ALT","Salinity",0.395575339875216,1.21822209628956,0.257844977929003,8,-0.311679236703171,0.820775490124734,"Pearson's product-moment correlation","two.sided"
"16","BACT","Salinity",0.487351261224632,1.5785937105777,0.153082265657914,8,-0.205258413224395,0.854710387312843,"Pearson's product-moment correlation","two.sided"
"17","CFX","Salinity",0.513097975227204,1.6907950940271,0.129341459710707,8,-0.172139808103389,0.863698012935135,"Pearson's product-moment correlation","two.sided"
"18","CREN","Salinity",0.450691104989083,1.4279999438065,0.191143431568671,8,-0.249828182542452,0.841521419427793,"Pearson's product-moment correlation","two.sided"
"19","DELTA","Salinity",0.154246571869111,0.441559602818724,0.670499439736657,8,-0.526513508652668,0.714483845630452,"Pearson's product-moment correlation","two.sided"
"20","GAM","Salinity",0.119644478039758,0.340854110169972,0.741992138310063,8,-0.551529242746626,0.696781328146454,"Pearson's product-moment correlation","two.sided"
"21","OPI","Salinity",0.308685560097689,0.917922125807804,0.385497571511463,8,-0.398365727630851,0.785621230691533,"Pearson's product-moment correlation","two.sided"
"22","POL","Salinity",0.0776928279070646,0.22041473978157,0.831069095411463,8,-0.580321309864871,0.67433250326581,"Pearson's product-moment correlation","two.sided"
"23","ROS","Salinity",0.224494099831236,0.651596920663556,0.532929050028126,8,-0.4718231746108,0.748343938094943,"Pearson's product-moment correlation","two.sided"
"24","SAR11","Salinity",0.472462592784635,1.51622501316227,0.167933292895001,8,-0.22371257890891,0.849410585858746,"Pearson's product-moment correlation","two.sided"
"25","SAR202","Salinity",0.211806493010636,0.612986907752988,0.556905536605889,8,-0.482114021575581,0.742423926566386,"Pearson's product-moment correlation","two.sided"
"26","SAR324","Salinity",0.528475024826313,1.76071043245663,0.116320884625808,8,-0.151592399660474,0.86896152516125,"Pearson's product-moment correlation","two.sided"
"27","SAR406","Salinity",0.38776646083505,1.18986717570046,0.26820975627455,8,-0.31998304885348,0.817742577390096,"Pearson's product-moment correlation","two.sided"
"28","VER","Salinity",0.000550189216374824,0.00155617033887016,0.998796461453501,8,-0.629294107209608,0.629958263494281,"Pearson's product-moment correlation","two.sided"
"29","ALT","Chla_fluor",-0.273802202763544,-0.805199450509514,0.443975340905926,8,-0.770584992216511,0.429943350944996,"Pearson's product-moment correlation","two.sided"
"30","BACT","Chla_fluor",-0.270041748517186,-0.793264273299977,0.450508186952262,8,-0.768930365826541,0.433247651517209,"Pearson's product-moment correlation","two.sided"
"31","CFX","Chla_fluor",-0.247065088661919,-0.721162436936034,0.491344422208311,8,-0.758673190679467,0.453034688896693,"Pearson's product-moment correlation","two.sided"
"32","CREN","Chla_fluor",-0.433353423373743,-1.36004865888465,0.210899677767145,8,-0.835117357550149,0.269921019586799,"Pearson's product-moment correlation","two.sided"
"33","DELTA","Chla_fluor",-0.43105523540288,-1.35118453719123,0.213603167524371,8,-0.83426021556929,0.272539221738866,"Pearson's product-moment correlation","two.sided"
"34","GAM","Chla_fluor",0.515562924297298,1.70184890167457,0.127196392038163,8,-0.168885695550286,0.864546935162231,"Pearson's product-moment correlation","two.sided"
"35","OPI","Chla_fluor",-0.0428587286810889,-0.121334279641926,0.906418554286435,8,-0.654814861313556,0.603040612243563,"Pearson's product-moment correlation","two.sided"
"36","POL","Chla_fluor",0.609490377773244,2.1744618127552,0.0613901282233258,8,-0.0326749872611821,0.895476515952997,"Pearson's product-moment correlation","two.sided"
"37","ROS","Chla_fluor",-0.0244136636251698,-0.0690728561226521,0.94662693019273,8,-0.644138597414006,0.614660887190751,"Pearson's product-moment correlation","two.sided"
"38","SAR11","Chla_fluor",-0.23890671113431,-0.695881184778047,0.506212561470393,8,-0.754969089843228,0.459898403262768,"Pearson's product-moment correlation","two.sided"
"39","SAR202","Chla_fluor",-0.536820090925964,-1.79964723501573,0.109612090684608,8,-0.87178612613351,0.140189811793858,"Pearson's product-moment correlation","two.sided"
"40","SAR324","Chla_fluor",-0.509598855973347,-1.67520099200261,0.132424642505793,8,-0.862489499103297,0.176733643071069,"Pearson's product-moment correlation","two.sided"
"41","SAR406","Chla_fluor",-0.323420502129419,-0.966727771013986,0.361992077313729,8,-0.791807775105713,0.384503882773522,"Pearson's product-moment correlation","two.sided"
"42","VER","Chla_fluor",0.197926120693137,0.571118071158903,0.583602890507426,8,-0.49315717601324,0.735851039052924,"Pearson's product-moment correlation","two.sided"
"43","ALT","d.NO3.",-0.290571417252361,-0.858919619192308,0.415377891068244,8,-0.777882939762899,0.414975175050462,"Pearson's product-moment correlation","two.sided"
"44","BACT","d.NO3.",-0.0577113034595381,-0.163504727181016,0.87417614994166,8,-0.663237826429433,0.593480015862614,"Pearson's product-moment correlation","two.sided"
"45","CFX","d.NO3.",-0.038371743424103,-0.10861166878425,0.916185291922484,8,-0.652240017062849,0.605892842518652,"Pearson's product-moment correlation","two.sided"
"46","CREN","d.NO3.",0.00236914576189037,0.00670097494122369,0.994817522734406,8,-0.628194217165773,0.631054117564722,"Pearson's product-moment correlation","two.sided"
"47","DELTA","d.NO3.",-0.0721703744003837,-0.204662338745872,0.842947029280296,8,-0.671292880709299,0.583992771151957,"Pearson's product-moment correlation","two.sided"
"48","GAM","d.NO3.",0.413258274953672,1.2836076502421,0.235208496241419,8,-0.292467588576505,0.827555943311482,"Pearson's product-moment correlation","two.sided"
"49","OPI","d.NO3.",-0.0025540221424299,-0.00722388906570883,0.994413113006956,8,-0.631165358448745,0.628082284499861,"Pearson's product-moment correlation","two.sided"
"50","POL","d.NO3.",0.341804797738459,1.02872932859322,0.333702918561229,8,-0.366749375439738,0.799394068097443,"Pearson's product-moment correlation","two.sided"
"51","ROS","d.NO3.",0.280444034388051,0.826377739724146,0.432543300036292,8,-0.424060771154408,0.773491176772725,"Pearson's product-moment correlation","two.sided"
"52","SAR11","d.NO3.",-0.20068077560643,-0.57939781977224,0.578267015247815,8,-0.737163586146008,0.49098315895341,"Pearson's product-moment correlation","two.sided"
"53","SAR202","d.NO3.",-0.00899731813129594,-0.025449288755397,0.980319959772749,8,-0.635026227878504,0.624164843720295,"Pearson's product-moment correlation","two.sided"
"54","SAR324","d.NO3.",0.175149573973431,0.503175982802079,0.628399262572994,8,-0.510808009652733,0.724841265192658,"Pearson's product-moment correlation","two.sided"
"55","SAR406","d.NO3.",0.204916440415122,0.592157105529044,0.570098354514865,8,-0.487623413223978,0.739173942047246,"Pearson's product-moment correlation","two.sided"
"56","VER","d.NO3.",-0.152197473973362,-0.435553617869777,0.674673491135978,8,-0.713455129752123,0.528028494073971,"Pearson's product-moment correlation","two.sided"
"57","ALT","d.NH4.",-0.316029506220154,-0.942152336287299,0.373691145887053,8,-0.788716593331018,0.391497073153974,"Pearson's product-moment correlation","two.sided"
"58","BACT","d.NH4.",-0.182739190738554,-0.525716805548307,0.613341515937153,8,-0.728541410235265,0.504989939407493,"Pearson's product-moment correlation","two.sided"
"59","CFX","d.NH4.",-0.214991543438732,-0.622647969012472,0.550847417454916,8,-0.743917896156868,0.479548521289202,"Pearson's product-moment correlation","two.sided"
"60","CREN","d.NH4.",-0.201520457061337,-0.581924512261623,0.576644170461167,8,-0.737562876846945,0.490318751451168,"Pearson's product-moment correlation","two.sided"
"61","DELTA","d.NH4.",-0.0235283310244073,-0.0665665972671249,0.9485602583228,8,-0.643620008552247,0.615211750701256,"Pearson's product-moment correlation","two.sided"
"62","GAM","d.NH4.",0.554438411342583,1.88433307990629,0.0962617291898128,8,-0.1155117822671,0.87767723753186,"Pearson's product-moment correlation","two.sided"
"63","OPI","d.NH4.",-0.06416419472603,-0.181858494611226,0.860217262866093,8,-0.666850107827842,0.58926822648432,"Pearson's product-moment correlation","two.sided"
"64","POL","d.NH4.",0.810337456464512,3.91147315103988,0.00447175924420196,8,0.368956232221566,0.953485920234334,"Pearson's product-moment correlation","two.sided"
"65","ROS","d.NH4.",0.0129455792648327,0.0366186960942058,0.971686290714804,8,-0.621748516921084,0.637376700451092,"Pearson's product-moment correlation","two.sided"
"66","SAR11","d.NH4.",-0.234449642401515,-0.682136042414218,0.514413976287606,8,-0.752931466670225,0.463613231605991,"Pearson's product-moment correlation","two.sided"
"67","SAR202","d.NH4.",-0.143556274182997,-0.410288160754516,0.69236266438987,8,-0.709090178320701,0.534370025974509,"Pearson's product-moment correlation","two.sided"
"68","SAR324","d.NH4.",-0.0168556693821599,-0.0476818064920536,0.963138697213741,8,-0.639693052769354,0.61934358371659,"Pearson's product-moment correlation","two.sided"
"69","SAR406","d.NH4.",0.032007117383687,0.0905762065309542,0.930056114484205,8,-0.609910416645719,0.648563232376604,"Pearson's product-moment correlation","two.sided"
"70","VER","d.NH4.",-0.138525428016546,-0.395623331158559,0.702723806538674,8,-0.706528813264364,0.538027202975424,"Pearson's product-moment correlation","two.sided"
"71","ALT","d.PO4.",0.117177983099507,0.333728464407437,0.747163803059343,8,-0.553267473016153,0.695492035625934,"Pearson's product-moment correlation","two.sided"
"72","BACT","d.PO4.",0.382324044980474,1.17028416030395,0.275566065936377,8,-0.32570681481833,0.815614567576525,"Pearson's product-moment correlation","two.sided"
"73","CFX","d.PO4.",0.33536653358479,1.006869924794,0.343476949761467,8,-0.373026369971421,0.796753812712436,"Pearson's product-moment correlation","two.sided"
"74","CREN","d.PO4.",-0.0600289130509953,-0.170094147137448,0.86915891391732,8,-0.664538462294992,0.591971409959226,"Pearson's product-moment correlation","two.sided"
"75","DELTA","d.PO4.",-0.131082479158603,-0.373984174787726,0.718133483101392,8,-0.702711876803833,0.54339154258932,"Pearson's product-moment correlation","two.sided"
"76","GAM","d.PO4.",0.738997308716353,3.10252937823501,0.0146097199033963,8,0.204543484046724,0.934027809443225,"Pearson's product-moment correlation","two.sided"
"77","OPI","d.PO4.",0.377201962529989,1.15198414807677,0.282588376503767,8,-0.331046695207506,0.813601044551724,"Pearson's product-moment correlation","two.sided"
"78","POL","d.PO4.",0.619016801985285,2.22930166979684,0.0563583502710859,8,-0.0173854740170132,0.898466463907998,"Pearson's product-moment correlation","two.sided"
"79","ROS","d.PO4.",0.473181106037078,1.51919543708264,0.16719758449098,8,-0.222833315538006,0.849668107442205,"Pearson's product-moment correlation","two.sided"
"80","SAR11","d.PO4.",0.187963420817655,0.541288752797569,0.603051404698269,8,-0.500948486453945,0.731069990651055,"Pearson's product-moment correlation","two.sided"
"81","SAR202","d.PO4.",0.159913035617184,0.458198880219756,0.658999216195058,8,-0.522301419828909,0.717316045064385,"Pearson's product-moment correlation","two.sided"
"82","SAR324","d.PO4.",0.200092012334166,0.577626961240061,0.579405933251057,8,-0.4914485452015,0.736883390035786,"Pearson's product-moment correlation","two.sided"
"83","SAR406","d.PO4.",0.227438696072202,0.660606692730299,0.527424926389623,8,-0.469407393019201,0.749706051686291,"Pearson's product-moment correlation","two.sided"
"84","VER","d.PO4.",0.113011866731056,0.321706799413652,0.75591975212022,8,-0.556190289141177,0.6933058224672,"Pearson's product-moment correlation","two.sided"
"85","ALT","d.SiO3.",-0.342485081928577,-1.03104854332985,0.332678618197785,8,-0.799672015955695,0.366082341501414,"Pearson's product-moment correlation","two.sided"
"86","BACT","d.SiO3.",-0.115781345884509,-0.329696398079841,0.750096273008727,8,-0.694760326783976,0.554249152654986,"Pearson's product-moment correlation","two.sided"
"87","CFX","d.SiO3.",-0.165707095169162,-0.475260918189871,0.647306214250602,8,-0.720193096512547,0.517959786005288,"Pearson's product-moment correlation","two.sided"
"88","CREN","d.SiO3.",0.111914235089847,0.31854238302202,0.758230862385506,8,-0.556957607347246,0.692728045481346,"Pearson's product-moment correlation","two.sided"
"89","DELTA","d.SiO3.",-0.497461736332096,-1.62196784593856,0.143467619933656,8,-0.85826619635363,0.192439500918408,"Pearson's product-moment correlation","two.sided"
"90","GAM","d.SiO3.",0.302083350266535,0.896294250058744,0.396264284031515,8,-0.404473693907991,0.782817968723197,"Pearson's product-moment correlation","two.sided"
"91","OPI","d.SiO3.",-0.092056752684444,-0.261486148763167,0.800323728124524,8,-0.682145005851676,0.570644897847983,"Pearson's product-moment correlation","two.sided"
"92","POL","d.SiO3.",0.203783170261574,0.588739937747656,0.572279606567857,8,-0.488524341847637,0.738636993954418,"Pearson's product-moment correlation","two.sided"
"93","ROS","d.SiO3.",0.116992172896503,0.333191918492974,0.747553774621372,8,-0.553398184277188,0.695394757372567,"Pearson's product-moment correlation","two.sided"
"94","SAR11","d.SiO3.",-0.150836469203327,-0.431567643505116,0.677450313073165,8,-0.712770519903394,0.529032355692869,"Pearson's product-moment correlation","two.sided"
"95","SAR202","d.SiO3.",-0.379291108228936,-1.15943312355887,0.279712620882534,8,-0.814423566905652,0.328874180144613,"Pearson's product-moment correlation","two.sided"
"96","SAR324","d.SiO3.",0.129109564063148,0.3682591993452,0.722233787002375,8,-0.544804301388326,0.701694567709344,"Pearson's product-moment correlation","two.sided"
"97","SAR406","d.SiO3.",-0.157837728235403,-0.452099551033259,0.663203783476811,8,-0.716280902857449,0.523847944327621,"Pearson's product-moment correlation","two.sided"
"98","VER","d.SiO3.",-0.00251173589851503,-0.00710428435540975,0.994505612385173,8,-0.63113991692131,0.628107888839435,"Pearson's product-moment correlation","two.sided"
